date,mm_long,mm_short,mm_net,open_interest
2016-05-31,192160,43549,148611,494321
2016-06-07,212061,34695,177366,496330
2016-06-14,257500,28260,229240,545357
2016-06-21,274936,24528,250408,571517
2016-06-28,285895,24845,261050,613792
2016-07-05,300070,26994,273076,652971
2016-07-12,296106,36977,259129,633020
2016-07-19,287317,34920,252397,617069
2016-07-26,278777,31356,247421,576325
2016-08-02,288542,33813,254729,582211
2016-08-09,281496,36244,245252,575399
2016-08-16,277152,34425,242727,572496
2016-08-23,284550,30866,253684,572973
2016-08-30,266680,35086,231594,558398
2016-09-06,291692,22157,269535,590656
2016-09-13,271631,28654,242977,575002
2016-09-20,246119,32972,213147,558791
2016-09-27,282151,26974,255177,583161
2016-10-04,244765,44649,200116,544824
2016-10-11,203033,54240,148793,500328
2016-10-18,190008,59054,130954,497061
2016-10-25,199094,55184,143910,507617
2016-11-01,203670,37403,166267,521506
2016-11-08,211670,38033,173637,528203
2016-11-15,178132,43452,134680,479237
2016-11-22,171864,47475,124389,461062
2016-11-29,162086,55145,106941,405661
2016-12-06,150856,68538,82318,393524
2016-12-13,146150,77432,68718,397034
2016-12-20,137588,83783,53805,398661
2016-12-27,130595,87229,43366,401513
2017-01-03,127786,91229,36557,424673
2017-01-10,135563,79884,55679,444001
2017-01-17,141566,82931,58635,467937
2017-01-24,135159,75405,59754,482374
2017-01-31,140663,70826,69837,398433
2017-02-07,142542,72393,70149,415543
2017-02-14,135739,72114,63625,415128
2017-02-21,142639,64597,78042,427168
2017-02-28,166437,52191,114246,446081
2017-03-07,150277,60030,90247,434401
2017-03-14,121179,74805,46374,426170
2017-03-21,130259,74064,56195,446880
2017-03-28,150879,59836,91043,449418
2017-04-04,163428,54302,109126,427808
2017-04-11,179841,46830,133011,456131
2017-04-18,199001,47765,151236,472263
2017-04-25,207394,47014,160380,475985
2017-05-02,195331,51720,143611,461905
2017-05-09,151419,55457,95962,433033
2017-05-16,132094,66226,65868,435021
2017-05-23,161893,50845,111048,462572
2017-05-30,175304,51171,124133,434246
2017-06-06,229476,63427,166049,494041
2017-06-13,214955,67459,147496,471134
2017-06-20,165035,65659,99376,445841
2017-06-27,144515,71860,72655,453144
2017-07-03,129780,96091,33689,457201
2017-07-11,123619,100397,23222,475669
2017-07-18,127028,98115,28913,484204
2017-07-25,136359,62735,73624,463827
2017-08-01,158082,39624,118458,448709
2017-08-08,164828,28843,135985,448727
2017-08-15,195433,18877,176556,477921
2017-08-22,209717,15638,194079,500443
2017-08-29,235065,13939,221126,538875
2017-09-05,251489,14301,237188,566817
2017-09-12,270413,16896,253517,580606
2017-09-19,251735,18353,233382,570096
2017-09-26,219134,23158,195976,549637
2017-10-03,204361,24917,179444,525127
2017-10-10,193154,21824,171330,520005
2017-10-17,196555,27040,169515,528800
2017-10-24,192701,24333,168368,526674
2017-10-31,182652,16687,165965,531918
2017-11-07,187782,17070,170712,536843
2017-11-14,190657,14559,176098,533054
2017-11-21,187292,14137,173155,531612
2017-11-28,208518,9978,198540,503810
2017-12-05,167174,32664,134510,472795
2017-12-12,123139,46913,76226,446618
2017-12-19,116642,35397,81245,453595
2017-12-26,127715,19957,107758,456470
2018-01-02,168423,20249,148174,500731
2018-01-09,216115,20065,196050,555455
2018-01-16,227373,25841,201532,582333
2018-01-23,236003,26467,209536,582421
2018-01-30,230597,23035,207562,559332
2018-02-06,206377,23448,182929,535321
2018-02-13,186183,16426,169757,511745
2018-02-20,190398,14943,175455,528154
2018-02-27,177475,27456,150019,532860
2018-03-06,172492,21786,150706,508100
2018-03-13,162337,26472,135865,526762
2018-03-20,148152,36345,111807,545499
2018-03-27,183080,20917,162163,529690
2018-04-03,155590,28948,126642,493141
2018-04-10,154044,28482,125562,499588
2018-04-17,157925,25287,132638,510229
2018-04-24,143258,43597,99661,506410
2018-05-01,119064,79747,39317,507756
2018-05-08,109508,67869,41639,491398
2018-05-15,103256,84258,18998,519958
2018-05-22,91411,74880,16531,502942
2018-05-29,107882,53881,54001,469382
2018-06-05,100027,49147,50880,450641
2018-06-12,104313,48809,55504,448695
2018-06-19,94297,83769,10528,468345
2018-06-26,94845,94869,-24,468573
2018-07-03,104275,105529,-1254,494164
2018-07-10,107402,109929,-2527,503593
2018-07-17,107775,134224,-26449,528278
2018-07-24,110249,146671,-36422,496620
2018-07-31,110580,153108,-42528,452655
2018-08-07,105849,171965,-66116,459474
2018-08-14,104803,188127,-83324,476739
2018-08-21,107143,197171,-90028,483730
2018-08-28,105971,181743,-75772,479283
2018-09-04,101651,184373,-82722,473118
2018-09-11,100593,175812,-75219,469450
2018-09-18,97904,180367,-82463,469436
2018-09-25,98513,182190,-83677,460279
2018-10-02,100671,180274,-79603,459776
2018-10-09,82218,191672,-109454,465253
2018-10-16,95333,144715,-49382,474418
2018-10-23,99368,137484,-38116,477832
2018-10-30,80105,135628,-55523,474941
2018-11-06,82188,129634,-47446,494911
2018-11-13,79529,158723,-79194,539520
2018-11-20,84356,136207,-51851,525940
2018-11-27,79992,138382,-58390,442801
2018-12-04,99414,109201,-9787,399919
2018-12-11,89942,90008,-66,402250
2018-12-18,100828,89630,11198,412485
2018-12-24,119146,77178,41968,442727
2018-12-31,121205,71021,50184,451360
2019-01-08,112690,80219,32471,455232
2019-01-15,115651,90716,24935,501605
2019-01-22,105295,89085,16210,513509
2019-01-29,126404,94007,32397,483390
2019-02-05,134954,90079,44875,479736
2019-02-12,132365,89746,42619,476083
2019-02-19,166411,84034,82377,504639
2019-02-26,154217,75658,78559,501268
2019-03-05,125903,94656,31247,471311
2019-03-12,123293,105886,17407,530030
2019-03-19,123909,93434,30475,514163
2019-03-26,135373,77386,57987,509575
2019-04-02,110816,86198,24618,440170
2019-04-09,117917,80880,37037,447539
2019-04-16,96196,111583,-15387,440581
2019-04-23,88989,122818,-33829,440048
2019-04-30,95159,95083,76,430011
2019-05-07,102975,93428,9547,450039
2019-05-14,138467,85921,52546,517995
2019-05-21,114986,99049,15937,508643
2019-05-28,119314,93040,26274,505126
2019-06-04,159663,63481,96182,481495
2019-06-11,169640,40480,129160,496663
2019-06-18,191766,41250,150516,525636
2019-06-25,204918,27177,177741,577605
2019-07-02,214186,20099,194087,605949
2019-07-09,208301,25690,182611,598977
2019-07-16,211322,31263,180059,601900
2019-07-23,208153,29980,178173,616859
2019-07-30,215581,29868,185713,563298
2019-08-06,248687,21854,226833,600317
2019-08-13,245631,22020,223611,593962
2019-08-20,249696,19850,229846,594807
2019-08-27,258269,31553,226716,636183
2019-09-03,265175,33549,231626,634358
2019-09-10,239475,33294,206181,614753
2019-09-17,241936,28080,213856,630990
2019-09-24,265508,27637,237871,658944
2019-10-01,219990,29179,190811,604885
2019-10-08,231976,31475,200501,616957
2019-10-15,213987,38200,175787,607387
2019-10-22,218317,33879,184438,625528
2019-10-29,230664,32106,198558,643442
2019-11-05,233167,35920,197247,690181
2019-11-12,209432,33991,175441,708463
2019-11-19,221795,26596,195199,719211
2019-11-26,218724,24437,194287,669268
2019-12-03,232276,24314,207962,701016
2019-12-10,212929,29281,183648,690003
2019-12-17,228616,26895,201721,716987
2019-12-24,245366,26520,218846,748737
2019-12-31,258357,25625,232732,786166
2020-01-07,261083,31326,229757,785857
2020-01-14,262402,31943,230459,796883
2020-01-21,258269,34437,223832,793829
2020-01-28,254259,34321,219938,715539
2020-02-04,223762,42152,181610,654572
2020-02-11,231499,35828,195671,658024
2020-02-18,278286,39740,238546,715317
2020-02-25,263218,32372,230846,732917
2020-03-03,242921,27560,215361,691985
2020-03-10,220642,10457,210185,633470
2020-03-17,164979,10900,154079,573925
2020-03-24,158965,1556,157409,547334
2020-03-31,156820,4222,152598,495652
2020-04-07,157005,4523,152482,480050
2020-04-14,162412,7168,155244,489965
2020-04-21,155492,9221,146271,493158
